Rule,Description
Hive Bond,Units where all models have this rule get +1 to morale test rolls.
Breath Attack,"Once per activation, before attacking, roll one die. On a 2+ one enemy unit within 6"" in line of sight takes 1 hit with Blast (3) and AP (1)."
Caster Group,"Pick one model with this rule in this unit to have Caster (X), where X is the total number of models with this rule in this unit. If the model is killed, pick another to be the new caster, and transfer all spell tokens to it. The caster loses all unspent spell tokens at the end of the round."
Increased Shooting Range,"This model gets +6"" range when shooting."
Infiltrate,"Counts as having Ambush, but may be deployed up to 1"" away from enemy units."
Piercing Growth,"Place one marker on this unit at the beginning of each round, starting on the round after which it deployed (counting  start of game deployment as deploying on the first round). For each marker models with this rule in it get AP (+1) (up to a max. of +2). If this unit is ever Shaken, it loses all its markers."
Ravage,"When it's this model's turn to attack in melee, roll X dice. For each 6+ the target takes one wound."
Regenerative Strength,"Place one marker on this model when it ignores a wound. When in melee, pick one of its weapons to get +X attacks, where X is the number of markers on it."
Spawn,"Once per game, when this model is activated, you may place a new unit of X fully within 6"" of it."
Spell Conduit,"Casters within 12"" that are from other friendly units may cast spells as if they were in this model's position, and get +1 to casting rolls when doing so."
Stealth Buff,"Once per activation, before attacking, pick one friendly unit within 12"", which gets Stealth once (next time the effect would apply)."
Strafing,"Once per activation, when this model moves through enemy units, pick one of them and attack it with this weapon as if it was shooting. This weapon may only be used in this way."
Surprise Attack,"Counts as having Infiltrate . Once deployed via this rule, roll X dice, for each 4+ one enemy unit within 3” takes 2 hits with AP (1)."
Takedown Strike,"Once per game, when it's this model's turn to attack in melee, you may pick one model in the unit as its target, and make one attack at Quality 2+ with AP (2) and Deadly (3), which is resolved as if it's a unit of 1."
Unpredictable Fighter Mark,"Once per activation, before attacking, pick one enemy unit within 18"", which friendly units gets Unpredictable Fighter against once (next time the effect would apply)."
Furious Aura,This model and its unit get Furious .
Hive Bond Boost Aura,This model and its unit get Hive Bond Boost .
Increased Shooting Range Aura,"This model and its unit get +6"" range when shooting."
Rapid Charge Aura,"This model and its unit moves +4"" when using Charge actions."
Shielded Aura,This model and its unit get Shielded .
Mend,"Once per activation, pick one friendly model within 3"" with Tough, and remove D3 wounds from it."
Re-Deployment,"After all other units are deployed (excluding units that were set aside), you may remove up to two friendly units from the table and deploy them again. Players alternate in placing Re-Deployment units, starting with the player that activates next."
Re-Position Artillery,"Once per activation, pick one friendly model within 6"" with Artillery, which may immediately move by up to 9""."
Unstoppable Shooting Mark,"Once per activation, before attacking, pick one enemy unit within 18"", which friendly units gets Unstoppable when shooting against once (next time the effect would apply)."
Bane when Shooting Aura,This model and its unit get Bane when shooting.
Courage Aura,This model and its unit get +1 to morale test rolls.
Melee Shrouding Aura,This model and its unit get Melee Shrouding .
Rapid Rush Aura,This model and its unit get Rapid Rush .
Regeneration Aura,This model and its unit get Regeneration .
Versatile Reach Aura,This model and its unit get Versatile Reach .
Protective Dome (X),"Pick up to three friendly units within 12"", which get Evasive once (next time the effect would apply)."
Bloodborn,"For each unmodified roll of 6 to hit when attacking, this model may roll +1 attack with that weapon. This rule doesn’t apply to newly generated attacks."
Piercing Assault Aura,This model and its unit get Piercing Assault .
Darkborn,"This model gets +3"" range when shooting and moves +3"" when using Charge actions."
Rapid Ambush,"Counts as having Ambush, but may be deployed at the start of any round, including the first."
Knightborn,"When a unit where all models have this rule takes wounds, roll one die for each. On a 6+ it is ignored. If the wounds were from a spell, then they are ignored on a 4+ instead."
Teleport,"Once per activation, before attacking, place this model anywhere fully within 6"" of its position."
Unpredictable Fighter Aura,This model and its unit get Unpredictable Fighter .
Watchborn,"When this unit is activated, pick one effect: until the end of the activation all models with this rule in it either get AP (+1) when attacking, or get +1 to hit rolls when attacking."
Shred when Shooting Aura,This model and its unit get Shred when shooting.
Wolfborn,"When this unit is activated, you may place all models with this rule in it anywhere fully within 3"" of their position."
Fortified,"When units where all models have this rule take hits, those hits count as having AP (-1), to a min. of AP (0)."
Counter-Attack Aura,This model and its unit get Counter-Attack .
Righteous Fury (X),"Pick up to two friendly units within 12"", which get Piercing Assault once (next time the effect would apply)."
Casting Debuff,"Once per activation, before attacking, pick one enemy unit within 18"" with Caster, which gets -1 to casting rolls once (next time the effect would apply)."
Courage Buff,"Once per activation, before attacking, pick one friendly unit within 12"", which gets +1 to morale test rolls once (next time the effect would apply)."
Devout Boost,"If this model has Devout , it deals extra hits on successful unmodified hit results of 5-6 from Devout (instead of only on 6)."
Guarded Buff,"Once per activation, before attacking, pick one friendly unit within 12"", which gets Guarded once (next time the effect would apply)."
Precision Fighter Buff,"Once per activation, before attacking, pick one friendly unit within 12"", which gets +1 to hit rolls in melee once (next time the effect would apply)."
Precision Shooter Buff,"Once per activation, before attacking, pick one friendly unit within 12"", which gets +1 to hit rolls when shooting once (next time the effect would apply)."
Precision Target,"Once per game, during this model's activation, pick one enemy unit within 36"" and in line of sight of it, and place X markers on it. Friendly units get +X to hit rolls when attacking it."
Devout Boost Aura,This model and its unit get Devout Boost .
Fast Aura,"This model and its unit moves +2"" when using Advance actions and +4"" when using Rush/Charge actions."
Fortified Aura,This model and its unit get Fortified .
Point-Blank Piercing Aura,This model and its unit get Point-Blank Piercing .
Shred in Melee Aura,This model and its unit get Shred in melee.
Guardian,"When units where all models have this rule are shot or charged from over 9"" away and take hits, those hits count as having AP (-1), to a min. of AP (0)."
Guardian Boost,"If all models in this unit have Guardian , enemy hits always count as having AP (-1) from Guardian (instead of only when being shot/charged from over 9"" away)."
Hit & Run Shooter,"Once per round, units where all models have this rule may move by up to 3"" after shooting."
Piercing Target,"Once per game, during this model's activation, pick one enemy unit within 36"" and in line of sight of it, and place X markers on it. Friendly units get + AP (X) when attacking it."
Shred Mark,"Once per activation, before attacking, pick one enemy unit within 18"", which friendly units gets Shred when attacking against once (next time the effect would apply)."
Steadfast,"If a unit where all models have this rule is Shaken at the beginning of the round, roll one die. On a 4+, it stops being Shaken."
Tear,"Against units where most models have Tough (3) to Tough (9), this weapon gets AP (+4)."
Guardian Boost Aura,This model and its unit get Guardian Boost .
Hit & Run Shooter Aura,This model and its unit get Hit & Run Shooter .
Ranged Shrouding Aura,This model and its unit get Ranged Shrouding .
Steadfast Aura,This model and its unit get Steadfast .
Stealth Aura,This model and its unit get Stealth .
Teleport Aura,This model and its unit get Teleport .
Unstoppable in Melee Aura,This model and its unit get Unstoppable in melee.
Targeting Visor,"When this model shoots at enemies over 9"" away, it gets +1 to hit rolls."
Ambush Beacon,"Friendly units using Ambush may ignore distance restrictions from enemies if they are deployed within 6"" of this model."
Decimate,"Ignores Cover, and against units where most models have Defense 2+ to Defense 3+, this weapon gets AP (+2)."
Evasive,Enemies get -1 to hit rolls when attacking units where all models have this rule.
Piercing Shooting Mark,"Once per activation, before attacking, pick one enemy unit within 18"", which friendly units gets AP (+1) when shooting against once (next time the effect would apply)."
Precision Spotter,"Once per activation, pick one enemy unit within 36"" and in line of sight of this model and roll one die, on a 4+ place a marker on it. Friendly units may remove markers from their target before rolling to hit to get +X to hit rolls when attacking, where X is the number of removed markers."
Ranged Slayer Aura,This model and its unit get Ranged Slayer .
Targeting Visor Boost Aura,This model and its unit get Targeting Visor Boost .
Harassing,"Once per round, units where all models have this rule may move by up to 3"" after shooting or being in melee."
Lacerate,When attacking the target must re-roll unmodified Defense results of 6.
Martial Prowess,"Once per game, if all models in this unit have this rule, it may be activated even if it had already activated this round (stops being fatigued when activated for the second time). Only up to half of the units in the army with this rule at the beginning of the game (rounding up) may use it in a single round."
Melee Slayer,This model's melee weapons get AP (+2) against units where most models have Tough (3) or higher.
Precision Fighting Mark,"Once per activation, before attacking, pick one enemy unit within 18"", which friendly units get +1 to hit rolls in melee against once (next time the effect would apply)."
Regeneration Buff,"Once per activation, before attacking, pick one friendly unit within 12"", which gets Regeneration once (next time the effect would apply)."
