army,Spell Name,Spell Text,Spell Type
Alien Hives,Animate Spirit (1),"Pick one friendly unit within 12"", which gets Hit & Run Fighter once (next time the effect would apply).",Grants
Alien Hives,Overwhelming Strike (1),"Pick one enemy unit within 12"", which takes 2 hit with AP (1) and Rupture . Roll as many dice as hits to see if ""on rolls of 6"" effects trigger.",direct hit
Alien Hives,Infuse Bloodthirst (2),"Pick up to two friendly units within 12"", which get Hive Bond Boost once (next time the effect would apply).",Grants
Alien Hives,Psychic Blast (2),"Pick one enemy unit within 12"", which takes 4 hit with AP (2).",direct hit
Alien Hives,Terror Seeker (3),"Pick up to three enemy units within 18"", which friendly units gets Unpredictable Fighter against once (next time the effect would apply).",Grants
Alien Hives,Hive Shriek (3),"Pick one enemy model within 18"", which takes 6 hit with AP (1).",direct hit
Battle Brothers,Advanced Sight (1),"Pick one enemy unit within 18"", which friendly units gets Unstoppable when shooting against once (next time the effect would apply).",Grants
Battle Brothers,Cerebral Trauma (1),"Pick one enemy unit within 18"", which takes 1 hit with Smash .",direct hit
Battle Brothers,Blessed Ammo (2),"Pick up to two friendly units within 12"", which get Shred when shooting once (next time the effect would apply).",Grants
Battle Brothers,Lightning Fog (2),"Pick up to two enemy units within 9"", which take 4 hits each.",direct hit
Battle Brothers,Protective Dome (3),"Pick up to three friendly units within 12"", which get Evasive once (next time the effect would apply).",Grants
Battle Brothers,Psychic Terror (3),"Pick one enemy unit within 6"", which takes 9 hit with Bane .",direct hit
Blood Brothers,Blood Sight (1),"Pick one enemy unit within 18"", which friendly units gets Unstoppable when shooting against once (next time the effect would apply).",Grants
Blood Brothers,Blood Trauma (1),"Pick one enemy unit within 18"", which takes 1 hit with Smash .",direct hit
Blood Brothers,Burst of Rage (2),"Pick up to two friendly units within 12"", which get Furious once (next time the effect would apply).",Grants
Blood Brothers,Heavenly Lance (2),"Pick one enemy model within 18"", which takes 4 hit with AP (1).",direct hit
Blood Brothers,Blood Dome (3),"Pick up to three friendly units within 12"", which get Evasive once (next time the effect would apply).",Grants
Blood Brothers,Shield Breaker (3),"Pick one enemy unit within 12"", which takes 6 hit with AP (1) and Shred .",direct hit
Dark Brothers,Dark Sight (1),"Pick one enemy unit within 18"", which friendly units gets Unstoppable when shooting against once (next time the effect would apply).",Grants
Dark Brothers,Dark Trauma (1),"Pick one enemy unit within 18"", which takes 1 hit with Smash .",direct hit
Dark Brothers,Blessed Ammo (2),"Pick up to two friendly units within 12"", which get Shred when shooting once (next time the effect would apply).",Grants
Dark Brothers,Lightning Fog (2),"Pick up to two enemy units within 9"", which take 4 hits each.",direct hit
Dark Brothers,Dark Dome (3),"Pick up to three friendly units within 12"", which get Evasive once (next time the effect would apply).",Grants
Dark Brothers,Psychic Terror (3),"Pick one enemy unit within 6"", which takes 9 hit with Bane .",direct hit
Knight Brothers,Knight Sight (1),"Pick one enemy unit within 18"", which friendly units gets Unstoppable when shooting against once (next time the effect would apply).",Grants
Knight Brothers,Knight Trauma (1),"Pick one enemy unit within 18"", which takes 1 hit with Smash .",direct hit
Knight Brothers,Banishing Sigil (2),"Pick up to two enemy units within 18"", which get -1 to defense rolls once (next time the effect would apply).",Modify
Knight Brothers,Doom Strike (2),"Pick one enemy unit within 6"", which takes 2 hit with AP (2) and Deadly (3).",direct hit
Knight Brothers,Knight Dome (3),"Pick up to three friendly units within 12"", which get Evasive once (next time the effect would apply).",Grants
Knight Brothers,Purge the Impure (3),"Pick up to two enemy units within 12"", which take 3 hits with AP (2) each.",direct hit
Watch Brothers,Watch Sight (1),"Pick one enemy unit within 18"", which friendly units gets Unstoppable when shooting against once (next time the effect would apply).",Grants
Watch Brothers,Watch Trauma (1),"Pick one enemy unit within 18"", which takes 1 hit with Smash .",direct hit
Watch Brothers,Blessed Ammo (2),"Pick up to two friendly units within 12"", which get Shred when shooting once (next time the effect would apply).",Grants
Watch Brothers,Lightning Fog (2),"Pick up to two enemy units within 9"", which take 4 hits each.",direct hit
Watch Brothers,Watch Dome (3),"Pick up to three friendly units within 12"", which get Evasive once (next time the effect would apply).",Grants
Watch Brothers,Psychic Terror (3),"Pick one enemy unit within 6"", which takes 9 hit with Bane .",direct hit
Wolf Brothers,Wolf Sight (1),"Pick one enemy unit within 18"", which friendly units gets Unstoppable when shooting against once (next time the effect would apply).",Grants
Wolf Brothers,Wolf Trauma (1),"Pick one enemy unit within 18"", which takes 1 hit with Smash .",direct hit
Wolf Brothers,Righteous Fury (2),"Pick up to two friendly units within 12"", which get Piercing Assault once (next time the effect would apply).",Grants
Wolf Brothers,Godly Thunder (2),"Pick one enemy model within 24"", which takes 2 hit with AP (4).",direct hit
Wolf Brothers,Wolf Dome (3),"Pick up to three friendly units within 12"", which get Evasive once (next time the effect would apply).",Grants
Wolf Brothers,Storm of Power (3),"Pick one enemy unit within 12"", which takes 6 hit with AP (1) and Surge . Roll as many dice as hits to see if ""on rolls of 6"" effects trigger.",direct hit
Blessed Sisters,Burn the Heretic (1),"Pick one enemy unit within 18"", which gets -3 to casting rolls once (next time the effect would apply).",Modify
Blessed Sisters,Righteous Wrath (1),"Pick one enemy model within 24"", which takes 1 hit with AP (4).",direct hit
Blessed Sisters,Holy Rage (2),"Pick up to two friendly units within 12"", which get Piercing Hunter once (next time the effect would apply).",Grants
Blessed Sisters,Eternal Flame (2),"Pick one enemy unit within 6"", which takes 6 hit with Purge .",direct hit
Blessed Sisters,Litanies of War (3),"Pick up to three friendly units within 12"", which get Devout Boost once (next time the effect would apply).",Grants
Blessed Sisters,Searing Admonition (3),"Pick one enemy unit within 18"", which takes 3 hit with Blast (3).",direct hit
Custodian Brothers,The Founder's Curse (1),"Pick one enemy unit within 18"", which friendly units gets Shred when attacking against once (next time the effect would apply).",Grants
Custodian Brothers,Thunderous Mist (1),"Pick one enemy unit within 18"", which takes 2 hit.",direct hit
Custodian Brothers,Focused Defender (2),"Pick up to two friendly units within 12"", which get Unpredictable Fighter once (next time the effect would apply).",Grants
Custodian Brothers,Dread Strike (2),"Pick one enemy model within 24"", which takes 2 hit with Tear .",direct hit
Custodian Brothers,Guardian Protection (3),"Pick up to three friendly units within 12"", which get Guardian Boost once (next time the effect would apply).",Grants
Custodian Brothers,Mind Gash (3),"Pick one enemy unit within 12"", which takes 6 hit with AP (1) and Shred .",direct hit
DAO Union,Aura of Peace (1),"Pick one friendly unit within 12"", which gets Fearless once (next time the effect would apply).",Grants
DAO Union,Killing Blow (1),"Pick one enemy model within 18"", which takes 2 hit with AP (1).",direct hit
DAO Union,Psychic Stabilization (2),"Pick up to two friendly units within 12"", which get Targeting Visor Boost once (next time the effect would apply).",Grants
DAO Union,Deadly Surge (2),"Pick one enemy unit within 6"", which takes 6 hit with Bane .",direct hit
DAO Union,Coordinated Aggression (3),"Pick up to three enemy units within 18"", which friendly units gets AP (1) when shooting against once (next time the effect would apply).",Modify
DAO Union,Devastating Strike (3),"Pick one enemy unit within 12"", which takes 6 hit with Decimate .",direct hit
Dark Elf Raiders,Psy-Adrenaline (1),"Pick one friendly unit within 12"", which gets Harassing Boost once (next time the effect would apply).",Grants
Dark Elf Raiders,Snake Bite (1),"Pick one enemy unit within 12"", which takes 2 hit with AP (1) and Lacerate .",direct hit
Dark Elf Raiders,Raiding Drugs (2),"Pick up to two enemy units within 18"", which friendly units get +1 to hit rolls in melee against once (next time the effect would apply).",direct hit
Dark Elf Raiders,Art of Pain (2),"Pick one enemy unit within 6"", which takes 2 hit with AP (2) and Deadly (3).",direct hit
Dark Elf Raiders,Fade in the Dark (3),"Pick up to three friendly units within 12"", which get Stealth once (next time the effect would apply).",Grants
Dark Elf Raiders,Holistic Suffering (3),"Pick one enemy unit within 12"", which takes 9 hit.",direct hit
Dwarf Guilds,Battle Rune  (1),"Pick one friendly unit within 12"", which gets +6"" range when shooting once (next time the effect would apply).",Modify
Dwarf Guilds,Breaking Rune  (1),"Pick one enemy model within 24"", which takes 1 hit with AP (4).",direct hit
Dwarf Guilds,Armor Rune  (2),"Pick up to two friendly units within 12"", which get Sturdy Boost once (next time the effect would apply).",Grants
Dwarf Guilds,Smiting Rune  (2),"Pick one enemy unit within 12"", which takes 4 hit with AP (1) and Quake .",direct hit
Dwarf Guilds,Deceleration Rune  (3),"Pick up to three enemy units within 18"", which moves -2"" when using Advance actions and -4"" when using Rush/Charge actions once (next time the effect would apply).",Modify
Dwarf Guilds,Cleaving Rune  (3),"Pick one enemy unit within 18"", which takes 3 hit with Blast (3).",direct hit
Elven Jesters,Asphyxiating Fog (1),"Pick one friendly unit within 12"", which gets Counter-Attack once (next time the effect would apply).",Grants
Elven Jesters,Blades of Discord (1),"Pick one enemy unit within 6"", which takes 1 hit with AP (2) and Deadly (3).",direct hit
Elven Jesters,Shadow Dance (2),"Pick up to two friendly units within 12"", which get Rapid Blink Boost once (next time the effect would apply).",Grants
Elven Jesters,Light Fragments (2),"Pick one enemy unit within 12"", which takes 4 hit with AP (1) and Fragment .",direct hit
Elven Jesters,Veil of Madness (3),"Pick up to three enemy units within 18"", which friendly units gets Slayer against once (next time the effect would apply).",Grants
Elven Jesters,Fatal Sorrow (3),"Pick one enemy unit within 18"", which takes 6 hit.",direct hit
Eternal Dynasty,Spirit Power (1),"Pick one friendly unit within 12"", which gets Flying once (next time the effect would apply).",Grants
Eternal Dynasty,Soul Spear (1),"Pick one enemy model within 24"", which takes 1 hit with Puncture .",direct hit
Eternal Dynasty,Spirit Resolve (2),"Pick up to two friendly units within 12"", which get Clan Warrior Boost once (next time the effect would apply).",Grants
Eternal Dynasty,Mind Vortex (2),"Pick up to two enemy units within 12"", which take 2 hits with AP (2) each.",direct hit
Eternal Dynasty,Eternal Guidance (3),"Pick up to three enemy units within 18"", which friendly units get +6"" range when shooting against once (next time the effect would apply).",Modify
Eternal Dynasty,Dragon Breath (3),"Pick one enemy unit within 12"", which takes 9 hit.",direct hit
Goblin Reclaimers,Ammo Boost (1),"Pick one friendly unit within 12"", which gets Mischievous Boost once (next time the effect would apply).",Grants
Goblin Reclaimers,Zap! (1),"Pick one enemy unit within 12"", which takes 2 hit with AP (1) and Surge .",direct hit
