rule_name,supergroup_bucket,original_type,first_match_line,context
Bash,WEAPON_MODIFIER,Weapon,20,"Rapid Blessed Flamer (12"", A2, Blast(3), Reliable, Purge), Bash (A0), Light Flail (A1, Blast(3)),..."
Break,WEAPON_MODIFIER,Weapon,30155,"Boulderbreaker (A4, AP(2), Quake)"
Caster Group,UNCATEGORIZED,Uncategorized,38548,"Acolytes [3] Q4+ D4+ | 150pts | Caster Group, Highborn"
Clan Warrior,ARMY_WIDE,Army-Wide Special Rules,34132,"Artillery Titan [1] Q3+ D2+ | 820pts | Clan Warrior, Fear(3), Fearless, Tough(18)"
Crack,WEAPON_MODIFIER,Weapon,38549,"2x Energy Swords (A4, AP(1), Rending), Energy Spear (A2, AP(4)), 3x 12"" Shard Pistols (A3, Crack)"
Decimate,WEAPON_MODIFIER,Weapon,22961,"Bash (A4, AP(1)), 2x 12"" Suit-Flamers (A2, Blast(3), Reliable), 2x 18"" Suit-Bursts (A2, Rending),..."
Devout,ARMY_WIDE,Army-Wide Special Rules,1,"APC [1] Q4+ D2+ | 170pts | Devout, Impact(3), Tough(6)"
Devout Boost,WEAPON_MODIFIER,Weapon,7120,"Support Sisters [3] Q4+ D4+ | 180pts | Devout, Devout Boost"
Evasive,DEFENSE_MODIFIER,Defense,25486,"Tide Titan [1] Q4+ D2+ | 490pts | Evasive, Fear(3), Targeting Visor, Tough(18)"
Fanatic,ARMY_WIDE,Army-Wide Special Rules,289,"Biker Fanatics [3] Q5+ D5+ | 220pts | Devout, Fearless, Piercing Assault, Tough(3)"
Fortified,DEFENSE_MODIFIER,Defense,7141,"Support Walker [1] Q4+ D2+ | 420pts | Devout, Devout Boost, Fear(2), Fearless, Fortified, Regener..."
Fracture,WEAPON_MODIFIER,Weapon,39947,"30"" Pintle-Machinegun (A2, AP(1)), 36"" Twin Light HE Autocannon (A4, AP(1), Fracture)"
Fragment,WEAPON_MODIFIER,Weapon,33587,"2x CCWs (A4), 12"" Master Fragment Pistol (A2, Fragment)"
Good Shot,WEAPON_MODIFIER,Weapon,23644,"Grunt Leader [1] Q5+ D4+ | 40pts | Good Shot, Targeting Visor, Tough(3)"
Guardian,ARMY_WIDE,Army-Wide Special Rules,8116,"Anti-Grav Battle Tank [1] Q3+ D2+ | 540pts | Fearless, Guardian, Impact(6), Strider, Tough(12)"
Highborn,ARMY_WIDE,Army-Wide Special Rules,38548,"Acolytes [3] Q4+ D4+ | 150pts | Caster Group, Highborn"
Hold the Line,ARMY_WIDE,Army-Wide Special Rules,39946,"Armored Truck [1] Q4+ D2+ | 205pts | Hold the Line, Impact(3), Strider, Tough(6)"
Lacerate,WEAPON_MODIFIER,Weapon,25553,"3x 12"" Medusa's Gaze (A12, AP(3)), Barb Dagger (A1, Lacerate)"
Martial Prowess,UNCATEGORIZED,Uncategorized,25552,Court Henchmen [3] Q3+ D4+ | 245pts | Martial Prowess
Melee Evasion,DEFENSE_MODIFIER,Defense,27571,True Witches [3] Q3+ D5+ | 95pts | Melee Evasion
Melee Slayer,WEAPON_MODIFIER,Weapon,26956,Nightmares [5] Q3+ D4+ | 155pts | Melee Slayer
Mischievous,ARMY_WIDE,Army-Wide Special Rules,35716,"Artillery Gun [1] Q5+ D3+ | 105pts | Artillery, Mischievous, Tough(3)"
