Name,Size,Quality,Defense,Tough,Points,Special Rules,Weapons,Upgrade Groups
Hive Lord,1,3+,2+,12,345,"Fear(2), Fearless, Hero, Hive Bond, Tough(12)","18"" Shredder Cannon (A4, Rending); 2x Heavy Razor Claws (A3, AP(1)); Stomp (A4, AP(1))",Upgrade with one; Replace any Heavy Razor Claw; Replace Shredder Cannon; Upgrade with; Upgrade with one
Prime Warrior,1,4+,4+,6,80,"Hero, Hive Bond, Tough(6)","18"" Shredder Gun (A2, Rending); Heavy Razor Claws (A3, AP(1))",Upgrade with one; Replace Shredder Gun; Upgrade with; Replace any Heavy Razor Claw
Snatcher Lord,1,3+,4+,3,80,"Fast, Hero, Hive Bond, Scout, Strider, Tough(3)","Heavy Claws (A4, AP(1), Rending)",Upgrade with one
Grunt Veteran,1,5+,5+,3,20,"Hero, Hive Bond, Strider, Tough(3)",Razor Claws (A2),Upgrade with one; Replace Razor Claw; Upgrade with one; Upgrade with one; Upgrade with one
Assault Grunts,10,5+,5+,-,110,"Fast, Hive Bond, Strider",10x Razor Claws (A2),Replace up to two Razor Claws; Upgrade all models with one
Shooter Grunts,10,5+,5+,-,110,"Hive Bond, Strider","10x 6"" Bio-Spiners (A2, AP(1)); 10x Razor Claws (A1)",Replace all Bio-Spiners; Replace up to two Bio-Spiners; Upgrade all models with one
Psycho-Grunts,10,5+,5+,-,110,"Hive Bond, Resistance, Strider","10x Rending Claws (A1, Rending)",Upgrade one model with; Upgrade all models with one
Winged Grunts,10,5+,5+,-,130,"Ambush, Flying, Hive Bond","10x 6"" Bio-Spiners (A2, AP(1)); 10x Razor Claws (A1)",Replace all Bio-Spiners; Replace up to two Bio-Spiners; Upgrade all models with one
Support Grunts,3,5+,5+,-,140,"Hive Bond, Relentless, Strider","3x 24"" Ravager Bio-Cannons (A3, Indirect, Rupture); 3x Razor Claws (A1)",Replace all Ravager Bio-Cannons; Upgrade all models with one
Soul-Snatchers,5,3+,4+,-,160,"Fast, Hive Bond, Scout, Strider","5x Heavy Claws (A2, AP(1), Rending)",Upgrade one model with
Hive Swarms,3,5+,6+,3,70,"Hive Bond, Strider, Tough(3)","3x Swarm Attacks (A3, Bane)",Upgrade all models with
Hive Warriors,3,4+,4+,3,110,"Hive Bond, Tough(3)",6x Razor Claws (A2),Any model may replace one Razor Claws; Replace one Ravager Gun; Upgrade all models with; Upgrade one model with; Replace any Razor Claws; Replace one Razor Claws
Ravenous Beasts,3,4+,4+,3,135,"Fast, Hive Bond, Strider, Tough(3)",6x Razor Claws (A2),Upgrade all models with; Replace any Razor Claws; Replace one Razor Claws
Venom Beasts,3,4+,4+,3,150,"Hive Bond, Regeneration, Tough(3)","3x 12"" Poison Spurts (A1, Blast(3), Bane); 3x Toxin Claws (A1, Bane)",Replace all Poison Spurts and Toxin Claws; Upgrade one model with
