rule_name,has_match,first_match_line,context,Is a spell
AP,TRUE,2,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Blast,TRUE,2,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Deadly,TRUE,2,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Lance,TRUE,879314,"5x shock lances (A1, AP(4))",n
Poison,TRUE,773291,"3x toxin claws (A1, Bane), 3x 12"" poison spurts (A1, Bane, Blast(3))",n
Precise,TRUE,248222,"ccw (A2), 24"" master precision rifle (A2, Precise)",n
Reliable,TRUE,2,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Rending,TRUE,2,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Bane,TRUE,2,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Impact,TRUE,218017,"Plague APC [FID:06997C8C] [BKT:F19E5325] [1] Q3+ D2+ | 280pts | Dangerous Terrain Debuff, Fast, I...",n
Indirect,TRUE,246857,"24"" demolition cannon (A1, AP(4), Blast(6), Indirect), 30"" twin entropy gun (A2, AP(2), Deadly(3))",n
Sniper,TRUE,232157,"ccw (A2), 30"" champion sniper rifle (A2, AP(1), Reliable, Takedown)",n
Lock-On,FALSE,,,0
Purge,TRUE,1081700,"5x energy swords (A2, AP(1), Rending), 4x 12"" heavy pistols (A1, AP(1)), 6"" blessed flamer pistol...",n
Limited,TRUE,209714,"ccw (A2), dual energy claws (A4, Rending), 12"" flamer-mod (A1, Blast(3), Limited, Reliable)",n
Regeneration,TRUE,232105,"Plague Crab Walker [FID:06997C8C] [BKT:61E41B52] [1] Q3+ D2+ | 695pts | Fear(3), Plaguebound, Reg...",n
Tough,TRUE,209665,"Chosen Plague Champion [FID:06997C8C] [BKT:80E0959A] [1] Q3+ D3+ | 110pts | Ambush, Flying, Hero,...",n
