unit_id,name,faction,points,quality,defense,models,matches,wins,losses,draws,win_rate,game_win_rate
18250,"Weapon Teams","MERGED ALL TXT",155,5,5,3,36502,5505,30968,29,15.0814,22.8307
18249,"Weapon Teams","MERGED ALL TXT",150,5,5,3,36502,4780,31687,35,13.0952,20.5248
18248,"Weapon Teams","MERGED ALL TXT",145,5,5,3,36502,5988,30475,39,16.4046,23.3453
18247,"Weapon Teams","MERGED ALL TXT",165,5,5,3,36502,16427,20066,9,45.003,50.6801
18246,"Weapon Teams","MERGED ALL TXT",155,5,5,3,36502,5313,31144,45,14.5554,21.9469
18245,"Weapon Teams","MERGED ALL TXT",145,5,5,3,36502,6806,29663,33,18.6456,25.1776
18244,"Weapon Teams","MERGED ALL TXT",160,5,5,3,36502,14845,21648,9,40.669,47.0183
18243,"Weapon Teams","MERGED ALL TXT",170,5,5,3,36502,14819,21668,15,40.5978,47.0329
18242,"Weapon Teams","MERGED ALL TXT",140,5,5,3,36502,6875,29595,32,18.8346,25.4601
18241,"Weapon Teams","MERGED ALL TXT",155,5,5,3,36502,14614,21880,8,40.0362,46.729
18240,"Weapon Teams","MERGED ALL TXT",150,5,5,3,36502,5694,30763,45,15.5991,22.7227
18239,"Weapon Teams","MERGED ALL TXT",150,5,5,3,36502,6115,30366,21,16.7525,23.8082
18238,"Weapon Teams","MERGED ALL TXT",165,5,5,3,36502,5536,30929,37,15.1663,22.5633
18237,"Weapon Teams","MERGED ALL TXT",160,5,5,3,36502,6079,30391,32,16.6539,23.6404
18236,"Weapon Teams","MERGED ALL TXT",140,5,5,3,36502,5731,30726,45,15.7005,23.1166
18235,"Weapon Teams","MERGED ALL TXT",150,5,5,3,36502,16356,20141,5,44.8085,50.4632
18234,"Weapon Teams","MERGED ALL TXT",150,5,5,3,36502,15372,21119,11,42.1128,47.9342
18233,"Weapon Teams","MERGED ALL TXT",135,5,5,3,36502,6277,30194,31,17.1963,24.2566
18232,"Weapon Teams","MERGED ALL TXT",155,5,5,3,36502,16574,19927,1,45.4057,50.8827
18231,"Weapon Teams","MERGED ALL TXT",165,5,5,3,36502,14890,21594,18,40.7923,47.2569
18230,"Weapon Teams","MERGED ALL TXT",150,5,5,3,36502,14775,21719,8,40.4772,46.9441
18229,"Weapon Teams","MERGED ALL TXT",160,5,5,3,36502,5498,30969,35,15.0622,22.6788
18228,"Weapon Teams","MERGED ALL TXT",180,5,5,3,36502,4968,31484,50,13.6102,20.849
18227,"Weapon Teams","MERGED ALL TXT",160,5,5,3,36502,4793,31666,43,13.1308,20.3766
18226,"Weapon Teams","MERGED ALL TXT",155,5,5,3,36502,6089,30383,30,16.6813,23.8764
18225,"Veterans","MERGED ALL TXT",115,4,5,5,36502,15236,21220,46,41.7402,46.8386
18224,"Veterans","MERGED ALL TXT",135,4,5,5,36502,7078,29286,138,19.3907,21.0125
18223,"Veterans","MERGED ALL TXT",165,4,5,5,36502,12094,24359,49,33.1324,28.47
18222,"Veterans","MERGED ALL TXT",135,4,5,5,36502,10639,25761,102,29.1463,26.4513
18221,"Veterans","MERGED ALL TXT",125,4,5,5,36502,13975,22486,41,38.2856,45.6111
18220,"Veterans","MERGED ALL TXT",140,4,5,5,36502,15500,20958,44,42.4634,49.6065
18219,"Veterans","MERGED ALL TXT",120,4,5,5,36502,7699,28689,114,21.092,21.9317
18218,"Veterans","MERGED ALL TXT",145,4,5,5,36502,9175,27222,105,25.1356,23.9257
18217,"Veterans","MERGED ALL TXT",130,4,5,5,36502,13942,22512,48,38.1952,42.4013
18216,"Veterans","MERGED ALL TXT",175,4,5,5,36502,12892,23549,61,35.3186,28.7221
18215,"Veterans","MERGED ALL TXT",150,4,5,5,36502,10982,25429,91,30.086,27.4865
18214,"Veterans","MERGED ALL TXT",140,4,5,5,36502,12393,24035,74,33.9516,29.8331
